LogHost,logon_explicit_cred_to_cnt,logon_type_12,logon_type_frm_0,logon_type_frm_9,logon_type_frm_12,uname_other_compacnt_login_frac,uname_that_compacnt_login_frac,logon_type_frm_5,uname_other_compacnt_login_cnt,uname_that_compacnt_login_cnt,logon_type_0,logon_type_2,logon_type_3,logon_type_4,logon_type_5,logon_type_7,logon_type_8,logon_type_9,logon_type_10,logon_type_11,logon_type_frm_2,logon_type_frm_3,logon_type_frm_4,logon_type_frm_7,logon_type_frm_8,logon_type_frm_10,logon_type_frm_11,Source_cnt,UserName_cnt,DomainName_cnt,total_logins_cnt,accnt_fail_logon_cnt,total_logoff_cnt,total_user_initi_logoff_cnt,logon_explicit_cred_frm_cnt,spl_pvlgs,domain_ctr_validate_cnt,scrnsaver_invok_cnt,scrnsaver_dismiss_cnt,total_logins_src_cnt,accnt_fail_logon_src_cnt,TGT_req_src_cnt,TGS_req_src_cnt,domain_ctr_validate_src_cnt
Comp177965,0,0,0,0,0,0.0,1.0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,17,0,17,0,0,17,0,0,0,4678,0,0,53,177
Comp092624,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,0,0,0,0,0,0,0,0,0,2109,0,0,0,210
Comp160108,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,0,0,0,0,0,0,0,3351,0,0,82,178
Comp929979,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,756
Comp621252,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,43,0,0,0,0,43,0,0,0,2097,0,0,0,68
Comp719390,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,0,0,0,0,0,0,0,0,0,4264,0,10,253,253
Comp546619,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp997304,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp636189,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp449676,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp530477,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp959299,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp618827,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp053022,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp254752,0,0,0,0,0,0.0,0.035125448,0,0,49,0,0,1229,0,167,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,1395,0,1221,0,1,1373,0,0,0,1086,0,2,157,182
Comp682913,0,0,0,0,0,0.0,0.17472119,0,0,47,0,0,104,0,173,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,269,0,93,0,1,221,0,0,0,1857,0,2,151,181
Comp819490,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,4,0,0,0,0,0,0,0,0,0,1891,0,0,94,48
Comp393078,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53503
Comp213870,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp908207,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp218226,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp761044,0,0,0,0,0,0.0,0.013449367,0,0,17,0,0,1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,5,1264,0,1256,0,0,1247,0,0,0,2098,0,0,0,0
Comp566106,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp381370,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp411395,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp300575,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp840794,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp192414,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp491524,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp213684,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp024950,0,0,0,0,0,0.0,0.031406138,0,0,44,0,0,1311,0,95,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,1401,0,1305,0,1,1302,0,0,0,2382,0,1,134,178
Comp548611,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172
Comp864731,0,0,0,0,0,0.0,0.027992853,0,0,47,0,0,1373,0,26,0,0,0,0,0,0,0,0,0,0,0,0,4,10,3,1679,0,1363,0,1,1543,0,0,0,31386,0,2,162,67
Comp944622,0,0,0,0,0,0.0,0.01019796,0,0,17,0,0,17,0,217,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,1667,0,17,0,0,1489,0,0,0,1955,0,0,51,194
Comp393799,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,1060,0,0,0,0,1046,0,0,0,1517,0,0,0,269
Comp022291,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp679215,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp130255,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp499049,0,0,0,0,0,0.0,0.377777778,0,0,17,0,0,17,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,45,0,17,0,1,45,0,0,0,1723,0,2,58,0
Comp030450,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp056150,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp693177,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp824858,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp721526,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp569713,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp705005,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp984036,0,0,0,0,0,0.0,0.193965517,0,0,45,0,0,130,0,27,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,232,0,126,0,1,147,0,0,0,39854,0,2,130,6893
Comp574739,0,0,0,0,0,0.0,0.030949106,0,0,45,0,0,1306,0,145,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,1454,0,1298,0,1,1351,0,0,0,1066,0,2,140,190
Comp604549,0,0,0,0,0,0.0,0.013090909,0,0,18,0,0,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,1375,0,1237,0,0,1306,0,0,0,3116,0,3,93,244
Comp383370,0,0,0,0,0,0.0,0.255319149,0,0,48,0,0,104,0,92,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,188,0,94,0,1,140,0,0,0,2427,0,1,166,190
Comp539721,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,4,0,0,0,0,0,0,0,0,0,3500,0,4,59,0
Comp700981,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp648298,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp578977,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp770200,0,0,0,0,0,0.0,0.01658925,0,0,50,0,0,2555,0,130,0,0,0,0,0,0,0,0,0,0,0,0,9,11,3,3014,0,2551,0,1,2815,0,0,0,2990,0,1,18,0
Comp413041,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp292411,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp666628,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp087949,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp402004,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp586392,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,0,0,0,0,0,0,0,0,1480,0,0,0,0
Comp829282,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp935092,0,0,0,0,0,0.0,0.6,0,0,33,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,55,0,49,0,1,55,0,0,0,2876,0,2,196,62
Comp198439,0,0,0,0,0,0.0,0.9,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,3,20,0,18,0,0,20,0,0,0,2515,0,7,282,304
Comp120528,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,286,0,0,0,0,236,0,0,0,1995,0,0,0,177
Comp378842,0,0,0,0,0,0.0,0.061371841,0,0,17,0,0,17,0,186,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,277,0,17,0,0,231,0,0,0,2575,0,0,48,172
Comp714240,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp204675,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp119024,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,78,0,0,0,0,78,0,0,0,848,0,0,0,0
Comp474112,0,0,0,0,0,0.0,0.309090909,0,0,17,0,0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,21,4,55,0,48,0,0,54,0,0,0,9459,0,2,381,0
Comp659306,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp898365,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp699498,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp162317,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp015497,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp389902,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp592031,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp865984,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp611695,0,0,0,0,0,0.0,0.638655462,0,0,76,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,119,0,95,0,33,115,0,0,0,2396,0,42,201,225
Comp652111,0,0,0,0,0,0.0,0.160535117,0,0,48,0,0,106,0,196,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,299,0,94,0,1,249,0,0,0,2564,0,2,169,121
Comp527116,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5542
Comp678263,0,0,0,0,0,0.0,0.172161172,0,0,47,0,0,105,0,155,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,273,0,93,0,1,225,0,0,0,3934,0,2,150,179
Comp119285,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599
Comp124096,0,0,0,0,0,0.0,0.010848756,0,0,17,0,0,17,0,217,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,1567,0,17,0,0,1446,0,0,0,2223,0,0,60,192
Comp491412,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,0,0,0,0,0,0,0,0,876,0,0,0,179
Comp920140,0,0,0,0,0,0.0,0.85,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,20,0,17,0,0,20,0,0,0,966,0,1,83,0
Comp866770,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp294906,0,0,0,0,0,0.0,0.219178082,0,0,48,0,0,105,0,90,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,219,0,94,0,1,171,0,0,0,2519,0,1,152,0
Comp405268,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3270,0,0,134,0
Comp935597,0,0,0,0,0,0.0,0.395348837,0,0,17,0,0,17,0,26,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,43,0,17,0,0,42,0,0,0,1723,0,0,44,0
Comp043604,0,0,0,0,0,0.0,0.147826087,0,0,17,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,40,4,115,0,196,0,0,18,0,0,0,0,0,0,0,0
Comp120033,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,0,0,0,0
Comp908363,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp930745,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp261014,0,0,0,0,0,0.0,0.17578125,0,0,45,0,0,102,0,159,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,256,0,91,0,1,210,0,0,0,1167,0,1,177,172
Comp525949,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,2538,0,0,0,0,2500,0,0,0,1235,0,0,0,187
Comp032780,0,0,0,0,0,0.0,0.017350158,0,0,44,0,0,2402,0,142,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,2536,0,2385,0,1,2498,0,0,0,1368,0,1,157,192
Comp557405,0,0,0,0,0,0.0,0.064150943,0,0,17,0,0,17,0,135,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,265,0,17,0,0,180,0,0,0,2665,0,0,47,174
Comp584274,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp702843,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp569528,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp421917,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp334749,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp782108,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp487759,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp015448,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp038289,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp100461,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp722801,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp814630,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp505747,0,0,0,0,0,0.0,0.246376812,0,0,34,0,0,93,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,138,0,82,0,1,89,0,0,0,5578,0,1,217,141
Comp449265,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,4,9,2,43,0,0,0,0,43,0,0,0,1066,0,0,0,66
Comp828729,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,0,0,0,0,0,0,0,2110,0,0,0,186
