LogHost,logon_explicit_cred_to_cnt,logon_type_12,logon_type_frm_0,logon_type_frm_9,logon_type_frm_12,uname_other_compacnt_login_frac,uname_that_compacnt_login_frac,uname_other_compacnt_login_cnt,uname_that_compacnt_login_cnt,logon_type_0,logon_type_2,logon_type_3,logon_type_4,logon_type_5,logon_type_7,logon_type_8,logon_type_9,logon_type_10,logon_type_11,logon_type_frm_2,logon_type_frm_3,logon_type_frm_4,logon_type_frm_5,logon_type_frm_7,logon_type_frm_8,logon_type_frm_10,logon_type_frm_11,Source_cnt,UserName_cnt,DomainName_cnt,total_logins_cnt,accnt_fail_logon_cnt,total_logoff_cnt,total_user_initi_logoff_cnt,logon_explicit_cred_frm_cnt,spl_pvlgs,domain_ctr_validate_cnt,scrnsaver_invok_cnt,scrnsaver_dismiss_cnt,total_logins_src_cnt,accnt_fail_logon_src_cnt,TGT_req_src_cnt,TGS_req_src_cnt,domain_ctr_validate_src_cnt
Comp409783,0,0,0,0,0,0.0,0.363636364,0,4,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,11,0,4,0,0,11,0,0,0,138,0,0,19,16
Comp133542,0,0,0,0,0,0.0,0.416666667,0,5,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,0,5,0,0,12,0,0,0,113,0,0,17,5
Comp334339,0,0,0,0,0,0.0,1.0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,4,0,0,0,230,0,2,23,19
Comp226774,0,0,0,0,0,0.0,1.0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,4,0,0,0,78,0,0,14,10
Comp411966,0,0,0,0,0,0.0,0.5,0,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,0,4,0,0,8,0,0,0,151,0,0,21,37
Comp997946,0,0,0,0,0,0.0,0.5,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,0,4,0,0,8,0,0,0,186,0,2,22,18
Comp965372,0,0,0,0,0,0.0,0.285714286,0,4,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,14,0,4,0,1,14,0,0,0,298,0,1,32,17
Comp600421,0,0,0,0,0,0.0,0.235294118,0,4,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,17,0,4,0,0,17,0,0,0,98,0,0,16,18
Comp568440,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
Comp503124,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,0,0,0,6,0,0,0,235,0,0,9,0
Comp542820,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp145477,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
Comp044772,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32498,0,0,0,0
Comp565768,0,0,0,0,0,0.0,0.333333333,0,4,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,0,4,0,1,11,0,0,0,71,0,1,14,0
Comp611836,0,0,0,0,0,0.0,0.571428571,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,0,4,0,1,7,0,0,0,72,0,2,7,10
Comp427085,0,0,0,0,0,0.0,0.307692308,0,4,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,13,0,4,0,0,13,0,0,0,818,0,0,16,10
Comp900362,0,0,0,0,0,0.0,0.4,0,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,2,0,0,5,0,0,0,165,0,0,26,26
Comp403418,0,0,0,0,0,0.0,0.357142857,0,5,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,0,5,0,0,14,0,0,0,169,0,0,20,18
Comp238171,0,0,0,0,0,0.0,0.571428571,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,0,4,0,1,7,0,0,0,216,0,4,20,18
Comp000082,0,0,0,0,0,0.6,0.6,6,6,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,10,6,6,0,2,10,0,0,0,87,0,2,12,12
Comp558084,0,0,0,0,0,0.0,0.363636364,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,11,0,4,0,0,13,0,0,0,9,0,0,0,9
Comp577313,0,0,0,0,0,0.0,0.692307692,0,9,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,13,0,9,0,5,13,0,0,0,182,0,7,27,38
Comp456254,0,0,0,0,0,0.0,0.285714286,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,0,2,0,1,7,0,0,0,141,0,1,23,35
Comp119064,0,0,0,0,0,0.0,0.357142857,0,5,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,0,5,0,1,14,0,0,0,96,0,3,22,13
Comp136044,0,0,0,0,0,0.0,0.625,0,5,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,0,5,0,0,8,0,0,0,297,0,0,44,11
Comp693383,0,0,0,0,0,0.0,0.222222222,0,4,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,18,0,4,0,17,18,0,0,0,108,0,18,33,11
Comp438354,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329
Comp627564,0,0,0,0,0,0.0,1.0,0,8,0,0,8,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,2,1,8,6,8,0,4,8,0,0,0,72,6,6,20,0
Comp762841,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,1,35,0
Comp072791,0,0,0,0,0,0.0,0.8,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,4,0,0,5,0,0,0,26,0,0,0,0
Comp721624,0,0,0,0,0,0.0,0.444444444,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,0,4,0,1,9,0,0,0,156,0,3,24,28
Comp992921,0,0,0,0,0,0.0,0.625,0,5,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,8,0,5,0,1,8,0,0,0,192,0,5,35,63
Comp606731,0,0,0,0,0,0.0,0.307692308,0,4,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,13,0,4,0,0,13,0,0,0,92,0,1,9,10
Comp854852,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,5,0,0,0,134,0,0,0,10
Comp382693,0,0,0,0,0,0.0,0.555555556,0,5,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,0,5,0,1,9,0,0,0,141,0,2,17,17
Comp521456,0,0,0,0,0,0.0,0.5,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,3,0,1,6,0,0,0,74,0,2,12,10
Comp152106,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,140,0,2,11,24
Comp054195,0,0,0,0,0,0.0,0.833333333,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,5,0,3,6,0,0,0,23,0,0,0,23
Comp531730,0,0,0,0,0,0.0,0.5,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,0,4,0,1,8,0,0,0,214,0,1,23,17
Comp706767,0,0,0,0,0,0.0,1.0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3,0,42,3,0,0,0,138,0,21,40,20
Comp006560,0,0,0,0,0,0.0,0.142857143,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,0,1,0,0,7,0,0,0,171,0,3,25,19
Comp814592,0,0,0,0,0,0.0,0.625,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,0,5,0,0,8,0,0,0,13,0,0,0,49
Comp606902,0,0,0,0,0,0.0,0.444444444,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,0,4,0,0,9,0,0,0,87,0,0,10,9
Comp307034,0,0,0,0,0,0.0,0.75,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,3,0,1,4,0,0,0,176,0,2,32,18
Comp230920,0,0,0,0,0,0.0,0.357142857,0,5,0,0,7,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,2,6,2,14,0,8,0,0,14,0,0,0,116,0,0,0,0
Comp412805,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comp192840,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,0,0,0,0,8,0,0,0,371,0,2,26,113
Comp157520,0,0,0,0,0,0.0,0.5,0,5,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,10,0,5,0,1,10,0,0,0,147,0,2,34,17
Comp729951,0,0,0,0,0,0.0,1.0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,0,1,3,0,0,0,72,0,3,14,10
Comp967417,0,0,0,0,0,0.0,0.5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,3,0,0,6,0,3,4,156,0,0,24,18
Comp599535,0,0,0,0,0,0.0,0.333333333,0,4,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,0,4,0,0,12,0,0,0,139,0,0,31,16
Comp372125,0,0,0,0,0,0.0,0.555555556,0,5,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,0,5,0,0,9,0,0,0,160,0,0,16,16
Comp421929,0,0,0,0,0,0.0,0.384615385,0,5,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,13,0,5,0,0,13,0,0,0,178,0,0,17,10
Comp299732,0,0,0,0,0,0.0,0.6,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,3,0,18,5,0,0,0,85,0,20,37,60
Comp249670,0,0,0,0,0,0.0,0.285714286,0,4,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,14,0,4,0,0,14,0,0,0,188,0,2,28,28
Comp143259,0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,2,3,0,0,0,1,2,0,0,0,33,0,4,24,2
Comp808873,0,0,0,0,0,0.0,0.571428571,0,8,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,0,8,0,4,14,0,0,0,210,0,6,13,29
Comp556785,0,0,0,0,0,0.0,0.307692308,0,4,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,13,0,4,0,1,13,0,0,0,168,0,2,10,10
Comp293019,0,0,0,0,0,0.0,0.04494382,0,4,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,89,0,85,0,0,8,0,0,0,187,0,2,23,19
Comp641400,0,0,0,0,0,0.0,0.666666667,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,5,0,1,9,0,0,0,177,0,2,28,17
Comp216311,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
Comp343679,0,0,0,0,0,0.0,0.363636364,0,4,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,11,0,4,0,0,11,0,0,0,63,0,0,8,0
Comp403049,0,0,0,0,0,0.0,0.666666667,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,4,0,0,6,0,0,0,117,0,1,15,9
Comp901954,0,0,0,0,0,0.0,0.8,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,4,0,0,5,0,0,0,126,0,0,29,15
Comp839350,0,0,0,0,0,0.0,0.666666667,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0,4,0,0,6,0,0,0,164,0,0,30,11
Comp146973,0,0,0,0,0,0.0,0.083333333,0,1,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,12,0,1,0,0,12,0,0,0,224,0,0,18,71
Comp381562,0,0,0,0,0,0.0,1.0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,0,0,2,0,0,0,145,0,0,25,16
Comp482561,0,0,0,0,0,0.0,0.8,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,4,0,0,5,0,0,0,966,0,10,417,148320
Comp592480,0,0,0,0,0,0.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,0,0,39,0,3,19,1
Comp662037,0,0,0,0,0,0.0,0.3125,0,5,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,16,0,5,0,3,16,0,0,0,98,0,3,16,12
Comp279148,0,0,0,0,0,0.0,1.0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,0,0,4,0,0,0,83,0,1,8,10
Comp998433,0,0,0,0,0,0.0,1.0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,2,0,0,2,0,0,0,117,0,1,6,28
Comp264954,0,0,0,0,0,0.0,0.058823529,0,1,1,1,2,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,2,17,0,1,0,2,16,0,0,0,51,0,4,30,4
Comp468586,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
Comp000116,0,0,0,0,0,0.0,0.057692308,0,3,0,0,57,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,7,3,52,0,51,0,2,4,0,0,0,152,0,3,30,12
Comp734741,0,0,0,0,0,0.0,0.166666667,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,0,1,0,33,6,0,0,0,63,0,0,13,10
Comp400123,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,0,0,0,0,7,0,0,0,144,0,1,22,11
Comp672179,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
Comp684634,0,0,0,0,0,0.0,0.5,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,0,4,0,0,8,0,0,0,130,0,0,19,20
Comp529120,0,0,0,0,0,0.0,0.4,0,4,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,0,4,0,1,10,0,0,0,63,0,5,20,11
Comp807024,0,0,0,0,0,0.0,0.357142857,0,5,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,0,5,0,1,14,0,0,0,184,0,2,30,16
